"Time","10-11 Riser Return","10-11 Riser Supply"
"2019-05-11 08:49:34",87.2
"2019-05-11 08:53:44",,72.2
"2019-05-11 08:55:30",87.5
"2019-05-11 08:59:45",,72.2
"2019-05-11 09:01:27",87.5
"2019-05-11 09:05:39",,72
"2019-05-11 09:07:23",87.5
"2019-05-11 09:11:36",,71.8
"2019-05-11 09:13:20",87.5
"2019-05-11 09:17:35",,71.7
"2019-05-11 09:19:21",87.2
"2019-05-11 09:23:31",,71.6
"2019-05-11 09:25:13",87.2
"2019-05-11 09:29:28",,71.6
"2019-05-11 09:31:10",87.2
"2019-05-11 09:35:25",,71.3
"2019-05-11 09:37:10",87.2
"2019-05-11 10:12:43",87.7
"2019-05-11 10:14:04",,71.4
"2019-05-11 10:18:41",87.9
"2019-05-11 10:20:02",,71.6
"2019-05-11 10:24:35",87.7
"2019-05-11 10:26:00",,71.8
"2019-05-11 10:30:33",87.5
"2019-05-11 10:31:56",,71.8
"2019-05-11 10:36:32",87.4
"2019-05-11 10:37:52",,72.2
"2019-05-11 10:42:34",87.2
"2019-05-11 10:43:48",,72.2
"2019-05-11 10:48:23",87
"2019-05-11 10:49:45",,72.2
"2019-05-11 10:54:20",87
"2019-05-11 10:55:48",,72.2
"2019-05-11 11:00:17",87
"2019-05-11 11:01:40",,72.2
"2019-05-11 11:06:13",86.8
"2019-05-11 11:24:04",86.7
"2019-05-11 11:26:54",,93.3
"2019-05-11 11:30:04",86.5
"2019-05-11 11:30:23",,97.5
"2019-05-11 11:34:20",,101.7
"2019-05-11 11:35:56",86.5
"2019-05-11 11:40:16",,103.8
"2019-05-11 11:41:53",86.5
"2019-05-11 11:47:38",,106.9
"2019-05-11 11:47:49",86.5
"2019-05-11 11:53:42",,106.6
"2019-05-11 11:53:45",86.5
"2019-05-11 11:59:31",,105.3
"2019-05-11 11:59:42",86.7
"2019-05-11 12:03:42",,105.9
"2019-05-11 12:05:40",86.8
"2019-05-11 12:09:40",,107.4
"2019-05-11 12:11:36",87
"2019-05-11 12:15:42",,106.7
"2019-05-11 12:17:31",87.2
"2019-05-11 12:21:35",,105.5
"2019-05-11 12:23:35",87.2
"2019-05-11 12:27:33",,104.1
"2019-05-11 12:29:23",87
"2019-05-11 12:33:30",,102.7
"2019-05-11 12:35:18",86.8
"2019-05-11 12:39:28",,101.3
"2019-05-11 12:41:15",86.8
"2019-05-11 12:45:24",,100
"2019-05-11 12:47:11",86.5
"2019-05-11 12:51:25",,98.7
"2019-05-11 12:53:15",86.4
"2019-05-11 12:57:17",,97.1
"2019-05-11 12:59:07",86.2
"2019-05-11 13:03:14",,95.7
"2019-05-11 13:05:02",86.1
"2019-05-11 13:09:10",,94.4
"2019-05-11 13:10:58",85.8
"2019-05-11 13:15:08",,93.3
"2019-05-11 13:16:50",85.8
"2019-05-11 13:21:10",,92.2
"2019-05-11 13:22:56",85.8
"2019-05-11 13:27:04",,91.3
"2019-05-11 13:28:54",85.9
"2019-05-11 13:33:01",,90.6
"2019-05-11 13:34:42",86.2
"2019-05-11 13:38:58",,89.7
"2019-05-11 13:40:41",86.4
"2019-05-11 13:44:55",,88.9
"2019-05-11 13:45:52",,92.3
"2019-05-11 13:46:33",86.5
"2019-05-11 13:46:41",,96.6
"2019-05-11 13:48:20",,100.8
"2019-05-11 13:52:25",,105.2
"2019-05-11 13:52:31",86.5
"2019-05-11 13:56:37",,108.9
"2019-05-11 13:58:28",86.4
"2019-05-11 14:02:33",,110
"2019-05-11 14:04:25",86.3
"2019-05-11 14:08:30",,110.4
"2019-05-11 14:10:21",86.3
"2019-05-11 14:14:27",,113.1
"2019-05-11 14:16:17",86.5
"2019-05-11 14:20:25",,113.7
"2019-05-11 14:22:20",86.8
"2019-05-11 14:26:21",,112.7
"2019-05-11 14:28:20",86.8
"2019-05-11 14:32:17",,111.1
"2019-05-11 14:34:13",86.8
"2019-05-11 14:38:13",,109.4
"2019-05-11 14:40:07",86.8
"2019-05-11 14:44:11",,107.7
"2019-05-11 14:46:04",86.8
"2019-05-11 14:50:08",,105.9
"2019-05-11 14:51:57",86.9
"2019-05-11 14:56:11",,104.3
"2019-05-11 14:57:53",86.8
"2019-05-11 15:02:03",,102.6
"2019-05-11 15:03:53",86.8
"2019-05-11 15:08:02",,101.2
"2019-05-11 15:09:51",87.1
"2019-05-11 15:14:03",,99.9
"2019-05-11 15:15:47",87.6
"2019-05-11 15:20:05",,98.7
"2019-05-11 15:21:40",88.1
"2019-05-11 15:25:58",,97.4
"2019-05-11 15:27:40",88.3
"2019-05-11 15:31:50",,96.2
