"Time","TMV 1 DHW Outlet","DHW Return"
"2019-05-10 05:49:55",129.5
"2019-05-10 05:53:32",,119.7
"2019-05-10 05:58:50",129.2
"2019-05-10 06:07:47",129.1
"2019-05-10 06:16:42",129.2
"2019-05-10 06:23:13",,118.3
"2019-05-10 06:25:39",129.1
"2019-05-10 06:34:36",129
"2019-05-10 07:08:30",128.9
"2019-05-10 07:12:15",,118.5
"2019-05-10 07:17:20",128.9
"2019-05-10 07:26:15",128.9
"2019-05-10 07:35:11",129
"2019-05-10 07:40:54",,118.3
"2019-05-10 07:44:07",129
"2019-05-10 07:53:02",128.7
"2019-05-10 08:01:58",128.7
"2019-05-10 08:09:33",,118.9
"2019-05-10 08:10:55",128.7
"2019-05-10 08:19:51",129
"2019-05-10 08:28:45",129.3
"2019-05-10 08:34:57",,121.5
"2019-05-10 08:37:41",129.2
"2019-05-10 08:46:38",129.1
"2019-05-10 08:55:33",129.4
"2019-05-10 09:00:52",,123.5
"2019-05-10 09:04:27",129.4
"2019-05-10 09:37:29",129.6
"2019-05-10 09:45:31",129.2
"2019-05-10 09:54:25",129.6
"2019-05-10 09:57:01",,124.3
"2019-05-10 10:03:20",129.2
"2019-05-10 10:09:40",129.7
"2019-05-10 10:18:36",129.2
"2019-05-10 10:26:07",,124.7
"2019-05-10 10:27:32",129.6
"2019-05-10 10:36:28",129.3
"2019-05-10 10:45:22",129.5
"2019-05-10 10:53:53",,124.2
"2019-05-10 10:54:17",129.4
"2019-05-10 11:03:12",129.5
"2019-05-10 11:12:07",129.4
"2019-05-10 11:20:18",,123.9
"2019-05-10 11:21:02",129.2
"2019-05-10 11:29:57",129.5
"2019-05-10 11:38:53",129.4
"2019-05-10 11:47:48",129.4
"2019-05-10 11:48:53",,124.9
"2019-05-10 11:56:43",129.2
"2019-05-10 12:05:36",129.2
"2019-05-10 12:14:33",129
"2019-05-10 12:18:39",,124.6
"2019-05-10 12:23:30",129
"2019-05-10 12:32:25",129.5
"2019-05-10 12:39:11",128.8
"2019-05-10 12:48:06",129
"2019-05-10 12:48:23",,125.1
"2019-05-10 12:57:02",129
"2019-05-10 13:05:58",129.1
